Battery Current, Motor Current, RPM, Lin Pot Voltage
1, 6.9203e-310, 0, 0
1, 6.9203e-310, 0, 0
1, 6.9203e-310, 0, 0
1, 6.9203e-310, 0, 0
1, 6.9203e-310, 0, 0
1, 6.9203e-310, 0, 0
1, 6.9203e-310, 0, 0
1, 6.9203e-310, 0, 0
1, 6.9203e-310, 0, 0
1, 6.9203e-310, 0, 0
1, 6.9203e-310, 0, 0
1, 6.9203e-310, 0, 0
1, 6.9203e-310, 0, 0
1, 6.9203e-310, 0, 0
1, 6.9203e-310, 0, 0
1, 6.9203e-310, 0, 0
1, 6.9203e-310, 0, 0
1, 6.9203e-310, 0, 0
0, 0.22, 0, 40
0, 0.22, 0, 40
0, 0.23, 0, 40
0, 0.23, 0, 40
0, 0.25, 0, 40
0, 0.25, 0, 40
0, 0.24, 0, 40
0, 0.23, 0, 40
0, 0.22, 0, 40
0, 0.22, 0, 40
0, 0.21, 0, 40
0, 0.23, 0, 40
0, 0.22, 0, 40
0, 0.23, 0, 40
0, 0.24, 0, 40
0, 0.24, 0, 40
0, 0.25, 0, 40
0, 0.23, 0, 40
0, 0.23, 0, 40
0, 0.24, 0, 40
0, 0.27, 0, 40
0, 0.24, 0, 40
0, 0.25, 0, 40
0, 0.27, 0, 40
0, 0.25, 0, 40
0, 0.25, 0, 40
0, 0.25, 0, 40
0, 0.24, 0, 40
0, 0.26, 0, 40
0, 0.25, 0, 40
0, 0.25, 0, 40
0, 0.22, 0, 40
0, 0.25, 0, 40
0, 0.25, 0, 40
0, 0.25, 0, 40
0, 0.23, 0, 40
0, 0.24, 0, 40
0, 0.25, 0, 40
0, 0.25, 0, 40
0, 0.26, 0, 40
0, 0.25, 0, 40
0, 0.22, 0, 40
0, 0.23, 0, 40
0, 0.26, 0, 40
0, 0.25, 0, 40
0, 0.27, 0, 40
